Company Name,Company Description,Company Rating,Company Reviews,Min Project Budget,Avg. Hourly Rate,Company Size,Company Location,Contact Number,Company Contact Request,Company Focus,company Website
Curve Design - Qatar,"We Offer Solutions! Creative, Dynamic, Innovative.",5.0,1 review,"$5,000+",$100 - $149 / hr,'10 - 49,"الدوحة, Qatar", Not found ,https://clutch.co/profile/curve-design-qatar/contact?next=https%3A%2F%2Fclutch.co%2Fagencies%2Fevent,20% Event Marketing & Planning,"=HYPERLINK(""https://www.curveqatar.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory"")"
Momentum Marketing & Events,Driving Marketing for Leading Brands,4.5,1 review,"$10,000+",< $25 / hr,'50 - 249,"Dubai, United Arab Emirates", Not found ,https://clutch.co/profile/momentum-marketing-events/contact?next=https%3A%2F%2Fclutch.co%2Fagencies%2Fevent,25% Event Marketing & Planning,"=HYPERLINK(""http://www.mmc-ae.com"")"
All Terrain,Full-service experiential marketing agency,5.0,2 reviews,"$100,000+",Undisclosed,'10 - 49,"Chicago, IL",7732515804,https://clutch.co/profile/all-terrain/contact?next=https%3A%2F%2Fclutch.co%2Fagencies%2Fevent,70% Event Marketing & Planning,"=HYPERLINK(""http://allterrain.net/"")"
Mediacor,The agency you hire when you want the job done.,4.9,17 reviews,"$1,000+",$50 - $99 / hr,'10 - 49,"Zagreb, Croatia",503.967.5723,https://clutch.co/profile/mediacor-0/contact?next=https%3A%2F%2Fclutch.co%2Fagencies%2Fevent,10% Event Marketing & Planning,"=HYPERLINK(""http://www.mediacor.hr"")"
Brave Exhibits,Fortune Favors The Brave,5.0,1 review,Undisclosed,Undisclosed,'2 - 9,"Denver, CO",8555232728,https://clutch.co/profile/brave-exhibits/contact?next=https%3A%2F%2Fclutch.co%2Fagencies%2Fevent,90% Event Marketing & Planning,"=HYPERLINK(""https://braveexhibits.com"")"
Maven Media Group,Digital marketing meets media production,4.9,16 reviews,"$5,000+",$100 - $149 / hr,'10 - 49,"Calgary, Canada",4034733569,https://clutch.co/profile/maven-media-group/contact?next=https%3A%2F%2Fclutch.co%2Fagencies%2Fevent,10% Event Marketing & Planning,"=HYPERLINK(""https://mavenmediagroup.ca"")"
The Engine is Red,Thrive in the new creative age,4.8,3 reviews,"$5,000+",$100 - $149 / hr,'10 - 49,"Santa Rosa, CA", Not found ,https://clutch.co/profile/engine-red/contact?next=https%3A%2F%2Fclutch.co%2Fagencies%2Fevent,10% Event Marketing & Planning,"=HYPERLINK(""http://www.theengineisred.com"")"
CGI Interactive,Digital experiences that drive business.,5.0,1 review,"$5,000+",$100 - $149 / hr,'10 - 49,"Westborough, MA",+1.508.898.2500,https://clutch.co/profile/cgi-interactive/contact?next=https%3A%2F%2Fclutch.co%2Fagencies%2Fevent,10% Event Marketing & Planning,"=HYPERLINK(""https://cgiinteractive.com"")"
We & Goliath,Virtual & Hybrid Event Production & Consulting,4.5,2 reviews,"$5,000+",$100 - $149 / hr,'10 - 49,"Asheville, NC", Not found ,https://clutch.co/profile/we-goliath/contact?next=https%3A%2F%2Fclutch.co%2Fagencies%2Fevent,60% Event Marketing & Planning,"=HYPERLINK(""https://weandgoliath.com/"")"
Full Fat,A creative PR and Digital agency,5.0,1 review,"$10,000+",$150 - $199 / hr,'10 - 49,"London, United Kingdom",+44.020.7183.9525,https://clutch.co/profile/full-fat/contact?next=https%3A%2F%2Fclutch.co%2Fagencies%2Fevent,15% Event Marketing & Planning,"=HYPERLINK(""http://wearefullfat.com/"")"
Purple PR,"Events, BTL, digital marketing, printing.",5.0,1 review,Undisclosed,$25 - $49 / hr,'2 - 9,"София, Bulgaria",+44 20 7439 9888,https://clutch.co/profile/purple-pr-0/contact?next=https%3A%2F%2Fclutch.co%2Fagencies%2Fevent,20% Event Marketing & Planning,"=HYPERLINK(""https://purplepr.bg/"")"
Flow Video,Video with a Higher Purpose,5.0,12 reviews,"$10,000+",Undisclosed,'2 - 9,"Royal Oak, MI",+1.248.905.1155,https://clutch.co/profile/flow-video/contact?next=https%3A%2F%2Fclutch.co%2Fagencies%2Fevent,20% Event Marketing & Planning,"=HYPERLINK(""https://flowvideo.com/"")"
Talk Shop,National Communications Agency,5.0,1 review,"$5,000+",Undisclosed,'10 - 49,"Toronto, Canada",18557382220,https://clutch.co/profile/talk-shop/contact?next=https%3A%2F%2Fclutch.co%2Fagencies%2Fevent,10% Event Marketing & Planning,"=HYPERLINK(""https://www.talkshopmedia.com/"")"
RMNG,Experiential Marketing for the Post-Covid World.,5.0,5 reviews,"$25,000+",Undisclosed,'10 - 49,"Los Angeles, CA",(949) 812-8253,https://clutch.co/profile/rmng/contact?next=https%3A%2F%2Fclutch.co%2Fagencies%2Fevent,100% Event Marketing & Planning,"=HYPERLINK(""https://rmng.co/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory"")"
Groove Jones,"Award-winning XR, AR, VR, Metaverse, Digital",4.9,21 reviews,"$25,000+",$100 - $149 / hr,'10 - 49,"Dallas, TX",(214) 749-0094,https://clutch.co/profile/groove-jones/contact?next=https%3A%2F%2Fclutch.co%2Fagencies%2Fevent,15% Event Marketing & Planning,"=HYPERLINK(""https://www.groovejones.com"")"
NEXT/NOW,We believe in the Future,4.9,13 reviews,"$50,000+",$100 - $149 / hr,'10 - 49,"Chicago, IL",3129456222,https://clutch.co/profile/nextnow/contact?next=https%3A%2F%2Fclutch.co%2Fagencies%2Fevent,32% Event Marketing & Planning,"=HYPERLINK(""https://nextnowagency.com/?utm_source=clutch.co&utm_medium=referral"")"
Evolve Activation,Experiential Marketing that Drives ROI,4.9,9 reviews,"$10,000+",Undisclosed,'2 - 9,"Los Angeles, CA",562-756-2753,https://clutch.co/profile/evolve-activation/contact?next=https%3A%2F%2Fclutch.co%2Fagencies%2Fevent,45% Event Marketing & Planning,"=HYPERLINK(""https://evolveactivation.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=agencies-event"")"
Traina,Building adaptive brands for an evolving world,4.9,38 reviews,"$100,000+",$200 - $300 / hr,'10 - 49,"San Diego, CA",6195677100,https://clutch.co/profile/traina/contact?next=https%3A%2F%2Fclutch.co%2Fagencies%2Fevent,10% Event Marketing & Planning,"=HYPERLINK(""https://wearetraina.com/?utm_source=clutch&utm_medium=referral"")"
Most Likely To,Born to serve clients differently.,5.0,11 reviews,"$10,000+",$200 - $300 / hr,'2 - 9,"San Francisco, CA", Not found ,https://clutch.co/profile/most-likely/contact?next=https%3A%2F%2Fclutch.co%2Fagencies%2Fevent,10% Event Marketing & Planning,"=HYPERLINK(""https://mostlikelyto.com/"")"
Believe Advertising & PR,"Finally, A PR Marketing Agency That Saves You Time",5.0,2 reviews,"$5,000+",Undisclosed,'2 - 9,"Bondi Junction, Australia", Not found ,https://clutch.co/profile/believe-advertising-pr/contact?next=https%3A%2F%2Fclutch.co%2Fagencies%2Fevent,10% Event Marketing & Planning,"=HYPERLINK(""https://www.believeadvertising.com/clutch-awards/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory"")"
Punch PR,Powerful ideas that build strong brands,4.8,5 reviews,"$5,000+",$150 - $199 / hr,'2 - 9,"Milwaukee, WI",414-534-6948,https://clutch.co/profile/punch-pr/contact?next=https%3A%2F%2Fclutch.co%2Fagencies%2Fevent,15% Event Marketing & Planning,"=HYPERLINK(""http://punch-pr.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory"")"
t/hawk digital,Drive More Revenue from Your Digital Channels,4.9,10 reviews,"$5,000+",$150 - $199 / hr,'10 - 49,"Ridgefield, CT", Not found ,https://clutch.co/profile/thawk-digital/contact?next=https%3A%2F%2Fclutch.co%2Fagencies%2Fevent,10% Event Marketing & Planning,"=HYPERLINK(""https://thawkdigital.com"")"
Sector 5 Digital,AR / VR / 3D Video / Experiential / Virtual Events,4.8,9 reviews,"$25,000+",Undisclosed,'10 - 49,"Fort Worth, TX",+1 (682) 348-1785,https://clutch.co/profile/sector-5-digital/contact?next=https%3A%2F%2Fclutch.co%2Fagencies%2Fevent,30% Event Marketing & Planning,"=HYPERLINK(""http://www.sector5digital.com"")"
Pro Motion Experiential Marketing,We help B2B /B2C brands and agency partners,4.9,6 reviews,"$25,000+",$100 - $149 / hr,'10 - 49,"Chesterfield, MO",+16365778507,https://clutch.co/profile/pro-motion-experiential-marketing/contact?next=https%3A%2F%2Fclutch.co%2Fagencies%2Fevent,100% Event Marketing & Planning,"=HYPERLINK(""https://promotion1.com/"")"
Bishop-McCann,Leaders in Producing Meetings & Events Worldwide,5.0,1 review,Undisclosed,Undisclosed,'50 - 249,"Kansas City, MO",816.474.3555,https://clutch.co/profile/bishop-mccann/contact?next=https%3A%2F%2Fclutch.co%2Fagencies%2Fevent,100% Event Marketing & Planning,"=HYPERLINK(""https://bishopmccann.com/"")"
Backlash,"Big agency thinking, without the price tag.",5.0,4 reviews,Undisclosed,Undisclosed,'10 - 49,"London, United Kingdom",02038765566,https://clutch.co/profile/backlash/contact?next=https%3A%2F%2Fclutch.co%2Fagencies%2Fevent,100% Event Marketing & Planning,"=HYPERLINK(""http://www.backlash.co.uk"")"
Amplify,"Joining the dots between people, brands + culture",4.8,3 reviews,Undisclosed,Undisclosed,'50 - 249,"London, United Kingdom", Not found ,https://clutch.co/profile/amplify-1/contact?next=https%3A%2F%2Fclutch.co%2Fagencies%2Fevent,80% Event Marketing & Planning,"=HYPERLINK(""https://www.weareamplify.com/"")"
iMP Experiential,Award-Winning Experiential & Sampling Agency,5.0,1 review,"$1,000+",Undisclosed,'50 - 249,"Leeds, United Kingdom", Not found ,https://clutch.co/profile/imp-experiential-0/contact?next=https%3A%2F%2Fclutch.co%2Fagencies%2Fevent,70% Event Marketing & Planning,"=HYPERLINK(""https://www.iamimp.com"")"
Team Pamper,Leading the way in corporate & event wellness,5.0,1 review,"$1,000+",< $25 / hr,'2 - 9,"Brighton, United Kingdom",01273 447 841,https://clutch.co/profile/team-pamper/contact?next=https%3A%2F%2Fclutch.co%2Fagencies%2Fevent,80% Event Marketing & Planning,"=HYPERLINK(""https://www.teampamper.com/"")"
DHD Films,Powered by Storytellers,4.9,9 reviews,"$25,000+",$150 - $199 / hr,'10 - 49,"Dallas, TX",214-730-0101,https://clutch.co/profile/dhd-films/contact?next=https%3A%2F%2Fclutch.co%2Fagencies%2Fevent,30% Event Marketing & Planning,"=HYPERLINK(""http://dhdfilms.com/"")"
Good Game Agency,Let's play,4.8,3 reviews,"$10,000+",$50 - $99 / hr,'10 - 49,"Zagreb, Croatia",+385996363552,https://clutch.co/profile/good-game-agency/contact?next=https%3A%2F%2Fclutch.co%2Fagencies%2Fevent,35% Event Marketing & Planning,"=HYPERLINK(""https://good.game/"")"
Yes&,Positivity & Possibility,4.8,23 reviews,"$100,000+",Undisclosed,'50 - 249,"Alexandria, VA", Not found ,https://clutch.co/profile/yes-0/contact?next=https%3A%2F%2Fclutch.co%2Fagencies%2Fevent,10% Event Marketing & Planning,"=HYPERLINK(""https://beyond-definition.com"")"
Elevate My Brand,Digital Marketing Strategies Made Simple,4.9,9 reviews,"$5,000+",$150 - $199 / hr,'2 - 9,"Los Angeles, CA",818-452-9880,https://clutch.co/profile/elevate-my-brand/contact?next=https%3A%2F%2Fclutch.co%2Fagencies%2Fevent,20% Event Marketing & Planning,"=HYPERLINK(""https://www.elevatemybrand.com/"")"
"Devott Co., Ltd.",Global Leader Delivering Asian Values,5.0,4 reviews,"$5,000+",$25 - $49 / hr,'50 - 249,"Tianjin, China", Not found ,https://clutch.co/profile/devott-co/contact?next=https%3A%2F%2Fclutch.co%2Fagencies%2Fevent,20% Event Marketing & Planning,"=HYPERLINK(""http://www.devott.com"")"
Bob Gold & Associates,Strategies That Work. Execution That's Flawless.,4.9,18 reviews,"$10,000+",$150 - $199 / hr,'10 - 49,"Redondo Beach, CA", Not found ,https://clutch.co/profile/bob-gold-associates/contact?next=https%3A%2F%2Fclutch.co%2Fagencies%2Fevent,10% Event Marketing & Planning,"=HYPERLINK(""https://bobgoldpr.com?utm_source=clutch&utm_medium=organic&utm_campaign=listing"")"
FUSE Create,Turn Heads.,5.0,1 review,Undisclosed,Undisclosed,'50 - 249,"Toronto, Canada",4163683873,https://clutch.co/profile/fuse-create/contact?next=https%3A%2F%2Fclutch.co%2Fagencies%2Fevent,20% Event Marketing & Planning,"=HYPERLINK(""https://fusecreate.com/"")"
VietNam Event Group - VEG,WE’RE THE EXPERIENTIAL EVENT CREW IN VIETNAM,5.0,3 reviews,"$1,000+",$25 - $49 / hr,'10 - 49,"Ho Chi Minh, Vietnam", Not found ,https://clutch.co/profile/vietnam-event-group-veg/contact?next=https%3A%2F%2Fclutch.co%2Fagencies%2Fevent,80% Event Marketing & Planning,"=HYPERLINK(""http://www.veg.vn"")"
TalkingTree Creative,Corporate Event & Video Production,4.9,11 reviews,"$5,000+",$100 - $149 / hr,'2 - 9,"Baltimore, MD",+1.240.252.1200,https://clutch.co/profile/talkingtree-creative/contact?next=https%3A%2F%2Fclutch.co%2Fagencies%2Fevent,40% Event Marketing & Planning,"=HYPERLINK(""https://talkingtreecreative.com/"")"
LAI Live,LAI Live Event Production | Design | Management,4.9,4 reviews,"$10,000+",Undisclosed,'50 - 249,"Washington, DC",2027830300,https://clutch.co/profile/lai-live/contact?next=https%3A%2F%2Fclutch.co%2Fagencies%2Fevent,40% Event Marketing & Planning,"=HYPERLINK(""https://www.lailiveevents.com/?utm_source=clutch&utm_medium=referral"")"
Swerve,We are strategic storytellers,4.5,2 reviews,"$50,000+",$150 - $199 / hr,'10 - 49,"Burlington, Canada",+1.212.742.9560,https://clutch.co/profile/swerve-1/contact?next=https%3A%2F%2Fclutch.co%2Fagencies%2Fevent,20% Event Marketing & Planning,"=HYPERLINK(""https://www.swervepr.com/"")"
Publicis Armenia,A full-service creative advertising agency.,4.9,7 reviews,"$10,000+",$25 - $49 / hr,'10 - 49,"Yerevan, Armenia",+37455003734,https://clutch.co/profile/publicis-armenia/contact?next=https%3A%2F%2Fclutch.co%2Fagencies%2Fevent,10% Event Marketing & Planning,"=HYPERLINK(""https://www.publicis.am/"")"
Harbinger Communications,PR agency that launches brands in Canada,5.0,6 reviews,"$10,000+",$100 - $149 / hr,'10 - 49,"Toronto, Canada",416-274-5681,https://clutch.co/profile/harbinger-communications/contact?next=https%3A%2F%2Fclutch.co%2Fagencies%2Fevent,10% Event Marketing & Planning,"=HYPERLINK(""http://www.harbingerideas.com/?utm_source=clutch.co&utm_medium=referral"")"
Maven Collective Marketing,Expertise You Can Measure,4.8,16 reviews,"$5,000+",Undisclosed,'10 - 49,"Squamish, Canada",+1 800-603-2902,https://clutch.co/profile/maven-collective-marketing/contact?next=https%3A%2F%2Fclutch.co%2Fagencies%2Fevent,15% Event Marketing & Planning,"=HYPERLINK(""http://www.mavencollectivemarketing.com"")"
Branding & Buzzing,Be on the tips of all the right tongues,4.8,3 reviews,"$5,000+",$100 - $149 / hr,'10 - 49,"Toronto, Canada", Not found ,https://clutch.co/profile/branding-buzzing/contact?next=https%3A%2F%2Fclutch.co%2Fagencies%2Fevent,30% Event Marketing & Planning,"=HYPERLINK(""http://www.brandingandbuzzing.com"")"
Heron Agency,Right Message. Right Place. Real Results.,5.0,12 reviews,"$5,000+",Undisclosed,'10 - 49,"Chicago, IL",7739695200,https://clutch.co/profile/heron-agency/contact?next=https%3A%2F%2Fclutch.co%2Fagencies%2Fevent,10% Event Marketing & Planning,"=HYPERLINK(""https://heronagency.com/"")"
EMOTIONSTUDIOS,WEB PLATFORMS FOR GLOBAL TRADE SHOWS & EVENTS,5.0,3 reviews,"$10,000+",$100 - $149 / hr,'2 - 9,"Cluj-Napoca, Romania",+40 771 159 814,https://clutch.co/profile/emotionstudios/contact?next=https%3A%2F%2Fclutch.co%2Fagencies%2Fevent,20% Event Marketing & Planning,"=HYPERLINK(""https://www.emotionstudios.net/"")"
HelpGood,Marketing for nonprofits and purpose-driven orgs,4.5,1 review,"$5,000+",$150 - $199 / hr,'10 - 49,"New York, NY",6464933700,https://clutch.co/profile/helpgood/contact?next=https%3A%2F%2Fclutch.co%2Fagencies%2Fevent,10% Event Marketing & Planning,"=HYPERLINK(""https://www.helpgood.com"")"
aVenue Event Group,Experiential Marketing at NonTraditional Venues,5.0,8 reviews,"$25,000+",$100 - $149 / hr,'10 - 49,"Orlando, FL",407-456-7369,https://clutch.co/profile/avenue-event-group/contact?next=https%3A%2F%2Fclutch.co%2Fagencies%2Fevent,100% Event Marketing & Planning,"=HYPERLINK(""https://avenueeventgroup.com/"")"
Simon Pure Marketing Inc.,The Better Experience Agency,5.0,6 reviews,"$25,000+",Undisclosed,'10 - 49,"Toronto, Canada", Not found ,https://clutch.co/profile/simon-pure-marketing/contact?next=https%3A%2F%2Fclutch.co%2Fagencies%2Fevent,100% Event Marketing & Planning,"=HYPERLINK(""http://www.simonpure.ca"")"
Mezzanine Growth,Mezzanine B2B Growth Agents,5.0,5 reviews,"$10,000+",$300+ / hr,'10 - 49,"Toronto, Canada",416.583.5831,https://clutch.co/profile/mezzanine-growth/contact?next=https%3A%2F%2Fclutch.co%2Fagencies%2Fevent,10% Event Marketing & Planning,"=HYPERLINK(""https://www.mezzaninegrowth.com/"")"
Curve Design - Qatar,"We Offer Solutions! Creative, Dynamic, Innovative.",5.0,1 review,"$5,000+",$100 - $149 / hr,'10 - 49,"الدوحة, Qatar", Not found ,https://clutch.co/profile/curve-design-qatar/contact?next=https%3A%2F%2Fclutch.co%2Fagencies%2Fevent,20% Event Marketing & Planning,"=HYPERLINK(""https://www.curveqatar.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory"")"
Momentum Marketing & Events,Driving Marketing for Leading Brands,4.5,1 review,"$10,000+",< $25 / hr,'50 - 249,"Dubai, United Arab Emirates", Not found ,https://clutch.co/profile/momentum-marketing-events/contact?next=https%3A%2F%2Fclutch.co%2Fagencies%2Fevent,25% Event Marketing & Planning,"=HYPERLINK(""http://www.mmc-ae.com"")"
All Terrain,Full-service experiential marketing agency,5.0,2 reviews,"$100,000+",Undisclosed,'10 - 49,"Chicago, IL",7732515804,https://clutch.co/profile/all-terrain/contact?next=https%3A%2F%2Fclutch.co%2Fagencies%2Fevent,70% Event Marketing & Planning,"=HYPERLINK(""http://allterrain.net/"")"
Mediacor,The agency you hire when you want the job done.,4.9,17 reviews,"$1,000+",$50 - $99 / hr,'10 - 49,"Zagreb, Croatia",503.967.5723,https://clutch.co/profile/mediacor-0/contact?next=https%3A%2F%2Fclutch.co%2Fagencies%2Fevent,10% Event Marketing & Planning,"=HYPERLINK(""http://www.mediacor.hr"")"
Brave Exhibits,Fortune Favors The Brave,5.0,1 review,Undisclosed,Undisclosed,'2 - 9,"Denver, CO",8555232728,https://clutch.co/profile/brave-exhibits/contact?next=https%3A%2F%2Fclutch.co%2Fagencies%2Fevent,90% Event Marketing & Planning,"=HYPERLINK(""https://braveexhibits.com"")"
Maven Media Group,Digital marketing meets media production,4.9,16 reviews,"$5,000+",$100 - $149 / hr,'10 - 49,"Calgary, Canada",4034733569,https://clutch.co/profile/maven-media-group/contact?next=https%3A%2F%2Fclutch.co%2Fagencies%2Fevent,10% Event Marketing & Planning,"=HYPERLINK(""https://mavenmediagroup.ca"")"
The Engine is Red,Thrive in the new creative age,4.8,3 reviews,"$5,000+",$100 - $149 / hr,'10 - 49,"Santa Rosa, CA", Not found ,https://clutch.co/profile/engine-red/contact?next=https%3A%2F%2Fclutch.co%2Fagencies%2Fevent,10% Event Marketing & Planning,"=HYPERLINK(""http://www.theengineisred.com"")"
CGI Interactive,Digital experiences that drive business.,5.0,1 review,"$5,000+",$100 - $149 / hr,'10 - 49,"Westborough, MA",+1.508.898.2500,https://clutch.co/profile/cgi-interactive/contact?next=https%3A%2F%2Fclutch.co%2Fagencies%2Fevent,10% Event Marketing & Planning,"=HYPERLINK(""https://cgiinteractive.com"")"
We & Goliath,Virtual & Hybrid Event Production & Consulting,4.5,2 reviews,"$5,000+",$100 - $149 / hr,'10 - 49,"Asheville, NC", Not found ,https://clutch.co/profile/we-goliath/contact?next=https%3A%2F%2Fclutch.co%2Fagencies%2Fevent,60% Event Marketing & Planning,"=HYPERLINK(""https://weandgoliath.com/"")"
Full Fat,A creative PR and Digital agency,5.0,1 review,"$10,000+",$150 - $199 / hr,'10 - 49,"London, United Kingdom",+44.020.7183.9525,https://clutch.co/profile/full-fat/contact?next=https%3A%2F%2Fclutch.co%2Fagencies%2Fevent,15% Event Marketing & Planning,"=HYPERLINK(""http://wearefullfat.com/"")"
Purple PR,"Events, BTL, digital marketing, printing.",5.0,1 review,Undisclosed,$25 - $49 / hr,'2 - 9,"София, Bulgaria",+44 20 7439 9888,https://clutch.co/profile/purple-pr-0/contact?next=https%3A%2F%2Fclutch.co%2Fagencies%2Fevent,20% Event Marketing & Planning,"=HYPERLINK(""https://purplepr.bg/"")"
Flow Video,Video with a Higher Purpose,5.0,12 reviews,"$10,000+",Undisclosed,'2 - 9,"Royal Oak, MI",+1.248.905.1155,https://clutch.co/profile/flow-video/contact?next=https%3A%2F%2Fclutch.co%2Fagencies%2Fevent,20% Event Marketing & Planning,"=HYPERLINK(""https://flowvideo.com/"")"
Talk Shop,National Communications Agency,5.0,1 review,"$5,000+",Undisclosed,'10 - 49,"Toronto, Canada",18557382220,https://clutch.co/profile/talk-shop/contact?next=https%3A%2F%2Fclutch.co%2Fagencies%2Fevent,10% Event Marketing & Planning,"=HYPERLINK(""https://www.talkshopmedia.com/"")"
RMNG,Experiential Marketing for the Post-Covid World.,5.0,5 reviews,"$25,000+",Undisclosed,'10 - 49,"Los Angeles, CA",(949) 812-8253,https://clutch.co/profile/rmng/contact?next=https%3A%2F%2Fclutch.co%2Fagencies%2Fevent,100% Event Marketing & Planning,"=HYPERLINK(""https://rmng.co/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory"")"
Groove Jones,"Award-winning XR, AR, VR, Metaverse, Digital",4.9,21 reviews,"$25,000+",$100 - $149 / hr,'10 - 49,"Dallas, TX",(214) 749-0094,https://clutch.co/profile/groove-jones/contact?next=https%3A%2F%2Fclutch.co%2Fagencies%2Fevent,15% Event Marketing & Planning,"=HYPERLINK(""https://www.groovejones.com"")"
NEXT/NOW,We believe in the Future,4.9,13 reviews,"$50,000+",$100 - $149 / hr,'10 - 49,"Chicago, IL",3129456222,https://clutch.co/profile/nextnow/contact?next=https%3A%2F%2Fclutch.co%2Fagencies%2Fevent,32% Event Marketing & Planning,"=HYPERLINK(""https://nextnowagency.com/?utm_source=clutch.co&utm_medium=referral"")"
Evolve Activation,Experiential Marketing that Drives ROI,4.9,9 reviews,"$10,000+",Undisclosed,'2 - 9,"Los Angeles, CA",562-756-2753,https://clutch.co/profile/evolve-activation/contact?next=https%3A%2F%2Fclutch.co%2Fagencies%2Fevent,45% Event Marketing & Planning,"=HYPERLINK(""https://evolveactivation.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=agencies-event"")"
Traina,Building adaptive brands for an evolving world,4.9,38 reviews,"$100,000+",$200 - $300 / hr,'10 - 49,"San Diego, CA",6195677100,https://clutch.co/profile/traina/contact?next=https%3A%2F%2Fclutch.co%2Fagencies%2Fevent,10% Event Marketing & Planning,"=HYPERLINK(""https://wearetraina.com/?utm_source=clutch&utm_medium=referral"")"
Most Likely To,Born to serve clients differently.,5.0,11 reviews,"$10,000+",$200 - $300 / hr,'2 - 9,"San Francisco, CA", Not found ,https://clutch.co/profile/most-likely/contact?next=https%3A%2F%2Fclutch.co%2Fagencies%2Fevent,10% Event Marketing & Planning,"=HYPERLINK(""https://mostlikelyto.com/"")"
Believe Advertising & PR,"Finally, A PR Marketing Agency That Saves You Time",5.0,2 reviews,"$5,000+",Undisclosed,'2 - 9,"Bondi Junction, Australia", Not found ,https://clutch.co/profile/believe-advertising-pr/contact?next=https%3A%2F%2Fclutch.co%2Fagencies%2Fevent,10% Event Marketing & Planning,"=HYPERLINK(""https://www.believeadvertising.com/clutch-awards/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory"")"
Punch PR,Powerful ideas that build strong brands,4.8,5 reviews,"$5,000+",$150 - $199 / hr,'2 - 9,"Milwaukee, WI",414-534-6948,https://clutch.co/profile/punch-pr/contact?next=https%3A%2F%2Fclutch.co%2Fagencies%2Fevent,15% Event Marketing & Planning,"=HYPERLINK(""http://punch-pr.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory"")"
t/hawk digital,Drive More Revenue from Your Digital Channels,4.9,10 reviews,"$5,000+",$150 - $199 / hr,'10 - 49,"Ridgefield, CT", Not found ,https://clutch.co/profile/thawk-digital/contact?next=https%3A%2F%2Fclutch.co%2Fagencies%2Fevent,10% Event Marketing & Planning,"=HYPERLINK(""https://thawkdigital.com"")"
Sector 5 Digital,AR / VR / 3D Video / Experiential / Virtual Events,4.8,9 reviews,"$25,000+",Undisclosed,'10 - 49,"Fort Worth, TX",+1 (682) 348-1785,https://clutch.co/profile/sector-5-digital/contact?next=https%3A%2F%2Fclutch.co%2Fagencies%2Fevent,30% Event Marketing & Planning,"=HYPERLINK(""http://www.sector5digital.com"")"
Pro Motion Experiential Marketing,We help B2B /B2C brands and agency partners,4.9,6 reviews,"$25,000+",$100 - $149 / hr,'10 - 49,"Chesterfield, MO",+16365778507,https://clutch.co/profile/pro-motion-experiential-marketing/contact?next=https%3A%2F%2Fclutch.co%2Fagencies%2Fevent,100% Event Marketing & Planning,"=HYPERLINK(""https://promotion1.com/"")"
Bishop-McCann,Leaders in Producing Meetings & Events Worldwide,5.0,1 review,Undisclosed,Undisclosed,'50 - 249,"Kansas City, MO",816.474.3555,https://clutch.co/profile/bishop-mccann/contact?next=https%3A%2F%2Fclutch.co%2Fagencies%2Fevent,100% Event Marketing & Planning,"=HYPERLINK(""https://bishopmccann.com/"")"
Backlash,"Big agency thinking, without the price tag.",5.0,4 reviews,Undisclosed,Undisclosed,'10 - 49,"London, United Kingdom",02038765566,https://clutch.co/profile/backlash/contact?next=https%3A%2F%2Fclutch.co%2Fagencies%2Fevent,100% Event Marketing & Planning,"=HYPERLINK(""http://www.backlash.co.uk"")"
Amplify,"Joining the dots between people, brands + culture",4.8,3 reviews,Undisclosed,Undisclosed,'50 - 249,"London, United Kingdom", Not found ,https://clutch.co/profile/amplify-1/contact?next=https%3A%2F%2Fclutch.co%2Fagencies%2Fevent,80% Event Marketing & Planning,"=HYPERLINK(""https://www.weareamplify.com/"")"
iMP Experiential,Award-Winning Experiential & Sampling Agency,5.0,1 review,"$1,000+",Undisclosed,'50 - 249,"Leeds, United Kingdom", Not found ,https://clutch.co/profile/imp-experiential-0/contact?next=https%3A%2F%2Fclutch.co%2Fagencies%2Fevent,70% Event Marketing & Planning,"=HYPERLINK(""https://www.iamimp.com"")"
Team Pamper,Leading the way in corporate & event wellness,5.0,1 review,"$1,000+",< $25 / hr,'2 - 9,"Brighton, United Kingdom",01273 447 841,https://clutch.co/profile/team-pamper/contact?next=https%3A%2F%2Fclutch.co%2Fagencies%2Fevent,80% Event Marketing & Planning,"=HYPERLINK(""https://www.teampamper.com/"")"
DHD Films,Powered by Storytellers,4.9,9 reviews,"$25,000+",$150 - $199 / hr,'10 - 49,"Dallas, TX",214-730-0101,https://clutch.co/profile/dhd-films/contact?next=https%3A%2F%2Fclutch.co%2Fagencies%2Fevent,30% Event Marketing & Planning,"=HYPERLINK(""http://dhdfilms.com/"")"
Good Game Agency,Let's play,4.8,3 reviews,"$10,000+",$50 - $99 / hr,'10 - 49,"Zagreb, Croatia",+385996363552,https://clutch.co/profile/good-game-agency/contact?next=https%3A%2F%2Fclutch.co%2Fagencies%2Fevent,35% Event Marketing & Planning,"=HYPERLINK(""https://good.game/"")"
